,Country,Total Cases,New Cases,Total Deaths,Continent
188,Cayman Islands,447.0,0.0,2.0,Americas
189,Caribbean Netherlands,429.0,0.0,4.0,Americas
190,Brunei ,187.0,0.0,3.0,Asia
191,British Virgin Islands,153.0,0.0,1.0,Europe
192,Grenada,148.0,0.0,1.0,Americas
193,Dominica,144.0,0.0,0.0,Americas
194,Timor-Leste,113.0,0.0,0.0,Asia
195,Fiji,63.0,4.0,2.0,Oceania
196,New Caledonia,58.0,0.0,0.0,Oceania
197,Falkland Islands,54.0,0.0,0.0,Americas
198,Macao,48.0,0.0,0.0,Asia
199,Laos,45.0,0.0,0.0,Asia
200,Saint Kitts and Nevis,41.0,0.0,0.0,Americas
201,Greenland,30.0,0.0,0.0,Americas
202,Vatican City,27.0,0.0,0.0,Europe
203,Saint Pierre Miquelon,24.0,0.0,0.0,Americas
204,Montserrat,20.0,0.0,1.0,Americas
205,Anguilla,18.0,0.0,0.0,Americas
206,Solomon Islands,18.0,0.0,0.0,Oceania
207,Western Sahara,10.0,0.0,1.0,Northern Africa
208,MS Zaandam,9.0,0.0,2.0,Africa
209,Wallis and Futuna,9.0,0.0,0.0,Oceania
210,Marshall Islands,4.0,0.0,0.0,Oceania
211,Samoa,3.0,0.0,0.0,Oceania
212,Micronesia,1.0,0.0,0.0,Oceania
213,Vanuatu,1.0,0.0,0.0,Oceania
214,China,89933.0,10.0,4636.0,Asia
